http://www.fmirobcn.org/exposiciones/5688/la-notte-1961,"La notte, 1961","<p><img src='http://www.fmirobcn.org/media/upload/gif/cache/02_1432633139_255.jpg' width='228' height='182' alt='La notte, 1961' /></p><p><a href='http://www.fmirobcn.org/exposiciones/5688/la-notte-1961' target='_blank'>+info</a></p>",02/12/2015,06/01/2015,"Exposición, Fundación Joan Miró",1,Fundación Joan Miró,Fundación Joan Miró,7
http://www.fmirobcn.org/exposiciones/5643/lesson-0,Lesson 0,<p><img src='http://www.fmirobcn.org/media/upload/gif/cache/lesson0_1425400055_255.jpg' width='228' height='182' alt='Lesson 0' /></p><p>Lesson 0 es un ciclo de exposiciones en el Espacio 13 de la Fundación Joan Miró a cargo de Azotea (Ane Agirre y Juan Canela)</p><p><a href='http://www.fmirobcn.org/exposiciones/5643/lesson-0' target='_blank'>+info</a></p>,09/19/2014,09/06/2015,"Exposición, Fundación Joan Miró",1,Fundación Joan Miró,Fundación Joan Miró,7
http://www.fmirobcn.org/exposiciones/5134/arqueologia-preventiva,Arqueología preventiva,<p><img src='http://www.fmirobcn.org/media/img/mas-info.png' width='228' height='182' alt='Arqueología preventiva' /></p><p>Rutas por la epidermis de la historia</p><p><a href='http://www.fmirobcn.org/exposiciones/5134/arqueologia-preventiva' target='_blank'>+info</a></p>,09/19/2013,09/07/2014,"Exposición, Fundación Joan Miró",1,Fundación Joan Miró,Fundación Joan Miró,7
http://www.fmirobcn.org/exposiciones/5693/en-construccion-1973-1975,En construcción (1973 – 1975),"<p><img src='http://www.fmirobcn.org/media/upload/gif/cache/gomisenconstruccio1_1432723432_255.jpg' width='228' height='182' alt='En construcción (1973 – 1975)' /></p><p>Joaquim Gomis (1902-1991) fue el primer presidente de la Fundació Joan Miró. Como tal, siguió muy de cerca la construcción del edificio de Sert. Entre 1973 y 1975, año en que se inauguró la Fundació, Gomis documentó la puesta en marcha con su cámara, deleitándose en los detalles, en la composición de los elementos, en las superficies de los materiales, en la luz que entraba dentro del edificio a medio construir.</p><p><a href='http://www.fmirobcn.org/exposiciones/5693/en-construccion-1973-1975' target='_blank'>+info</a></p>",06/05/2015,10/04/2015,"Exposición, Fundación Joan Miró",1,Fundación Joan Miró,Fundación Joan Miró,7
http://www.fmirobcn.org/exposiciones/5692/alfons-borrell-los-trabajos-y-los-dias,Alfons Borrell. Los trabajos y los días,"<p><img src='http://www.fmirobcn.org/media/upload/gif/cache/alfons_borrell_1432720802_255.jpg' width='228' height='182' alt='Alfons Borrell. Los trabajos y los días' /></p><p>La obra pictórica de Alfons Borrell (Barcelona, 1931) ha ido consolidándose lentamente como un corpus expresivo de gran intensidad y solidez.

Bajo el título Alfons Borrell.</p><p><a href='http://www.fmirobcn.org/exposiciones/5692/alfons-borrell-los-trabajos-y-los-dias' target='_blank'>+info</a></p>",07/03/2015,09/27/2015,"Exposición, Fundación Joan Miró",1,Fundación Joan Miró,Fundación Joan Miró,7
http://www.fmirobcn.org/exposiciones/5518/joaquim-gomis-merce-1969,Joaquim Gomis. Mercè 1969,<p><img src='http://www.fmirobcn.org/media/upload/gif/imgdin/expo/cache/0897_255.jpg' width='228' height='182' alt='Joaquim Gomis. Mercè 1969' /></p><p>Una pequeña muestra de fotografías de Joaquim Gomis sobre la fiesta mayor de Barcelona.</p><p><a href='http://www.fmirobcn.org/exposiciones/5518/joaquim-gomis-merce-1969' target='_blank'>+info</a></p>,05/20/2014,10/05/2014,"Exposición, Fundación Joan Miró",1,Fundación Joan Miró,Fundación Joan Miró,7
http://www.fmirobcn.org/exposiciones/5403/roni-horn-todo-dormia-como-si-el-universo-fuera-un-error,Roni Horn. Todo dormía como si el universo fuera un error,"<p><img src='http://www.fmirobcn.org/media/upload/gif/imgdin/expo/cache/0872_255.jpg' width='228' height='182' alt='Roni Horn. Todo dormía como si el universo fuera un error' /></p><p>Primera exposición monográfica de la artista en Barcelona en la que se pregunta a través de su obra sobre la realidad que la rodea, su identidad y su relación con el entorno.</p><p><a href='http://www.fmirobcn.org/exposiciones/5403/roni-horn-todo-dormia-como-si-el-universo-fuera-un-error' target='_blank'>+info</a></p>",06/20/2014,09/28/2014,"Exposición, Fundación Joan Miró",1,Fundación Joan Miró,Fundación Joan Miró,7
http://www.fmirobcn.org/exposiciones/5639/barcelona-zona-neutral,"Barcelona, zona neutral","<p><img src='http://www.fmirobcn.org/media/upload/gif/cache/50_1432720155_255.jpg' width='228' height='182' alt='Barcelona, zona neutral' /></p><p>Durante la Primera Guerra Mundial, Barcelona entró de lleno en la modernidad. Mientras en Europa se extiende el conflicto bélico, algunos artistas catalanes inician el trayecto hacia la vanguardia (Miró, Togores, Manolo Hugué.</p><p><a href='http://www.fmirobcn.org/exposiciones/5639/barcelona-zona-neutral' target='_blank'>+info</a></p>",10/25/2014,02/15/2015,"Exposición, Fundación Joan Miró",1,Fundación Joan Miró,Fundación Joan Miró,7
http://www.fmirobcn.org/exposiciones/5687/prophetia,Prophetia,"<p><img src='http://www.fmirobcn.org/media/upload/gif/cache/0935_1423423019_255.jpg' width='228' height='182' alt='Prophetia' /></p><p>Prophetia reúne obras de veinticinco artistas que han seguido y comentado el proceso de formación de la Europa comunitaria. El punto de partida de la exposición es un vídeo del albanés Anri Sala, de 2002, que retrata el momento en que el sueño europeo aún estaba intacto en algunos países que aspiraban a entrar en la Unión Europea.</p><p><a href='http://www.fmirobcn.org/exposiciones/5687/prophetia' target='_blank'>+info</a></p>",03/13/2015,06/10/2015,"Exposición, Fundación Joan Miró",1,Fundación Joan Miró,Fundación Joan Miró,7
http://www.fmirobcn.org/exposiciones/5685/si-seguimos-seguro-que-nos-reiremos,"Si seguimos, seguro que nos reiremos","<p><img src='http://www.fmirobcn.org/media/upload/gif/imgdin/expo/cache/0939_255.jpg' width='228' height='182' alt='Si seguimos, seguro que nos reiremos' /></p><p>Si seguimos, seguro que nos reiremos es una recopilación de fotografías de Tortell Poltrona, payaso catalán fundador de la ONG Payasos Sin Fronteras.</p><p><a href='http://www.fmirobcn.org/exposiciones/5685/si-seguimos-seguro-que-nos-reiremos' target='_blank'>+info</a></p>",10/07/2014,01/18/2015,"Exposición, Fundación Joan Miró",1,Fundación Joan Miró,Fundación Joan Miró,7
