web-scraper-order,web-scraper-start-url,event_organizer,event_venue,event_text,event_title,event_link,event_link-href,event_facebooktime,event_maplink__1,event_cost__,event_category__,event_id,event_image-src
"1529341440-10","http://www.artssspot.com/barcelona/face-pages-prov/","Infobbaa Barcelona","Infobbaa Barcelona","Exposició de les darreres adquisicions de la Col·lecció Belles Arts","Exposició Patrim'17","https://www.facebook.com/events/2612021918823243/","https://www.facebook.com/events/2612021918823243/","2018-07-02T01:00:00-07:00 to 2018-07-31T07:30:00-07:00","null","null","null","https://www.facebook.com/events/2612021918823243/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/q84/s526x296/35671754_382596558916970_855193778942640128_n.jpg?_nc_cat=0&oh=af8b2ea3a549e5d72e858132a4300f20&oe=5BBEE459"
"1529341402-7","http://www.artssspot.com/barcelona/face-pages-prov/","Jasmine Guffond","Hangar.org","El 22 de juny Hangar acollirà, en el marc de Hangar Sonor, les presentacions de Jessica Ekomane, Jasmine Guffond i Silje Nes, tres professionals del so amb seu a Berlín. Si bé tenen pràctiques diverses, comparteixen un interès en el so, no només com a objecte d’estudi, sinó també com un mitjà d’investigació. Utilitzant un sistema de so quadrafònic, Jessica Ekomane explorarà la forma en què la nostra percepció del ritme es veu afectada pel voltant de l’espai, la introducció d’elements de la psicoacústica i la gestalt teoria. Jasmine Guffond presentarà ‘The Web Never Forgets’: utilitzant el seu complement del navegador Chrome per traduir les galetes d’Internet en so mentre navega en línia, proporcionarà una presència musical per a les activitats que en gran mesura oculten a la creació de dades de perfils per part de corporacions i governs. Silje Nes presentarà un entorn musical generatiu amb un element performatiu.

La pràctica de Jessica Ekomane es desenvolupa entorn la música, les instal·lacions de so i, més recentment, la realitat virtual. Ella crea situacions on el so actua com un element transformador per a l’espai i l’audiencia. Això influeix en les seves composicions que busquen un efecte físic i catàrtic alternant entre el soroll i la melodia, i jugant amb la nostra percepció de les estructures rítmiques. Actualment és una de les residents de la ràdio comunitària de Berlín [INCUBATOR] en la seva edició de 2017, així com una de les tres participants elegides per a la residència d’aquest any a Open Port Club a Sapporo (Japó).

Jasmine Guffond és una artista sonora que treballa en l’interfície de les infraestructures socials, polítiques i tècniques. La seva pràctica abasta el rendiment en viu, la gravació i la capacitat d’instal·lació de so per interrogar-se al lloc. Mitjançant la sonificació de la informació, aborda el potencial del so per interactuar amb les preguntes polítiques contemporànies.
Ha exposat internacionalment, realitzat en viu i gravat música per a CD i versions de vinil de 12 polzades. El 2016 va rebre el “Working Grant for New Music und Sound Art” del Senat de Berlín.

Silje Nes té la seu a Bergen NO i Berlín DE, i treballa en diversos projectes de música, so experimental i instal·lacions de so. Va llançar Ames Room (2007) i Opticks (2010) en FatCat Records, i va realitzar gires internacionals amb la seva música. Interesant-se en manifestacions físiques particulars i físiques, en el seu treball actual s’explora la creació d’entorns que expressen una certa autonomia, eliminada de processos compositius. És llicenciada en estudis de so, filosofia i disseny, i el seu projecte actual compta amb el suport del Consell de les arts de Noruega.

jessicaekomane.com
www.jasmineguffond.com
www.siljenes.com

Entrada: 3€","Silje Nes, Jasmine Guffond i Jessica Ekomane a Hangar Sonor","https://www.facebook.com/events/481559755594537/","https://www.facebook.com/events/481559755594537/","2018-06-22T10:30:00-07:00 to 2018-06-22T13:00:00-07:00","null","null","null","https://www.facebook.com/events/481559755594537/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x395/35463514_1987795651231971_5870770464527220736_n.jpg?_nc_cat=0&oh=ca3cc8917a5ca190263ee552c2946a88&oe=5BAD47A3"
"1529341453-11","http://www.artssspot.com/barcelona/face-pages-prov/","Carlos Cabrera","Casinet D’Hostafrancs","El próximo viernes 13 de julio se avecina la inauguración de la obra 1969 en el Casinet d'Hostafrancs dónde además de fotografía habrá reggae, ska, rocksteady y R&B estrictamente en 45rpm y cervecitas bien frescas para aquellos que nos acompañéis! 

Para aquellos que no son perezosos y les guste leer os cuento un poco de lo que trata:

1969 constituye el prólogo de un trabajo fotográfico de investigación de carácter sociológico y antropológico sobre las subculturas británicas del 69. Mods, hard mods, skinheads, suedeheads y rudo boys. En consecuencia, tenemos que entenderlo como un proyecto de vida en constante transformación y cambio. 

Los sujetos que forman parte del estudio son personas seducidas por el romanticismo del movimiento. Sin limitaciones de edad, sexo o raza. Todas ellas comparten gustos similares por la música, el deporte y, especialmente, por la estética. Todas ellas son fieles al ”Espíritu del ‘69”.

Como punto de partida del ensayo encontramos la ciudad condal de Barcelona donde la tendencia está bastante extendida y permite llevar a cabo una representación fiel y amplia sobre el mismo. Sin embargo, el objetivo siguiente es avanzar por territorio catalán, español y, finalmente, europeo. 

El proyecto pretende profundizar en el corazón de estas subculturas con la intención de mostrar la belleza que las acompaña. Todo un romanticismo cargado de fortaleza y nostalgia que llena de encanto los caminos de aquellos que la conforman. Los discos de vinilo, los dedos negros de rebuscar entre montones de ellos, los tatuajes, las motocicletas, los tocadiscos, la fraternidad, las botas, las camisas de cuadros perfectamente ajustadas, los detalles de los polos, las boinas, los sombreros, los tirantes, los vaqueros,… Un conjunto pensado, elegante y atractivo que seduce a todo el que roza.

Asimismo, mi compromiso es manifestar la esencia y el alma que reside en el movimiento y desmontar el mito que tiñe de oscuro toda la majestuosidad perenne. Tenemos que emprender un nuevo juicio con mayor advertencia que permita discernir entre la verdadera naturaleza de la subcultura y su posterior deformación. Entender que la politización no es un hecho congénito sino ulterior y, en consecuencia, no tiene nada que ver con los originales.","Inauguración Exposición Fotográfica 1969","https://www.facebook.com/events/326687401199085/","https://www.facebook.com/events/326687401199085/","2018-07-13T10:00:00-07:00 to 2018-07-13T12:00:00-07:00","null","null","null","https://www.facebook.com/events/326687401199085/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/35355389_10155243472196058_1105345928530755584_o.jpg?_nc_cat=0&oh=4f86e61aa31a11f21c98b342d6a265f8&oe=5BC2CDB2"
"1529341389-6","http://www.artssspot.com/barcelona/face-pages-prov/","Laura Llaneli","null","Salamina celebramos casi casi los 4 años de nuestro espacio y lo queremos hacer junto a vosotros marcándonos una fiesta pre-Sant Joan. 
Música de la buena, cerveza artesana, una expo que promete 
y gente bonica. 
Abrimos puertas a las 18h!

19h «Bha Phanein» de Ariadna Parreu
20h  III (banda)
21h TAUB https://www.youtube.com/watch?v=umVjBNoaWyI&t=87s
22h Mad Marky https://soundcloud.com/madmarky
23h June or July /Juan Noseke https://juneorjuly.bandcamp.com/
24h Kentaro Terajima https://www.mixcloud.com/terajimakentaro/

+ expo de los artistas de Salamina con piezas primerizas casi inéditas :)
(Jonathan, Luz, Oscar, Antonio, Laura, Andrea, Ariadna, Jose, Sebastián, Ayelen, Lucía, Jordi, Carlos, Pere, Rasmus, Lúa, Martín, Marc, Aldo)

(y nos expandimos)
(y nos fusionamos)","Open Salamina2001","https://www.facebook.com/events/177536849766653/","https://www.facebook.com/events/177536849766653/","2018-06-22T09:00:00-07:00 to 2018-06-22T16:00:00-07:00","null","null","null","https://www.facebook.com/events/177536849766653/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/35481895_10155722452923261_1484733807264268288_o.jpg?_nc_cat=0&oh=035ea2ee4f870d8e90a6b6a631b35a49&oe=5BA0C024"
"1529341414-8","http://www.artssspot.com/barcelona/face-pages-prov/","Máster Fotografía Elisava","Centre Cívic Pati Llimona","indicios es una exposición de los estudiantes del Máster en Fotografía y Diseño de Elisava Escola Disseny  de Barcelona, bajo la coordinación y comisariado de Ines Casals y recoge los proyectos finales  de los alumnos de la edición 2017/18 del Máster en Fotografía y Diseño de ELISAVA.

Alumnos del Máster en Fotografía y Diseño de ELISAVA 2017/18:
Nelson Alonso, Rosalia Angel Domenech, Outmane Bakki, Axelle Billon, Alexander Caraballo, Calecx Caus, María Chaves, Ania Collado Herrera, Christine Deitermann, Andia Ghanbari, Thomas Grøttebø, Camila Anaïs, Vanessa Gutiérrez Cortés, Doris Lee, Chiaoyun Lo, Liubov Lezhneva Photography, Bibi Macias M Safont, Carlos Ojeda Jiménez, Nere Oria Iriondo, Andrés Ribón Perry, Jessica Roberts, Ryan Swartz, Ricardo Tay-Lee Lama, Miao Ting, Anna Vilaseca Samper.

Profesores del Máster en Fotografía y Diseño de ELISAVA:
Ramon Pez Pez, Arianna Rinaldo, Marta Dahó, Lorena Ros, Natasha Christia, Toni Amengual, Reinhard Steger , Ines Casals, Elena Olcina, Katherin Wermke, Luca Tronci, Marcelo Isarrualde , Iñigo Bujedo Aguirre, Mira Bernabeu, Ber Arce, Jessica Murray, Diego Ferrarii, Joan Villaplana, Enric Jardí, Pedro Vicente.

Un proyecto del Máster en Fotografía y Diseño de ELISAVA:
http://masterfotografia.elisava.net/
www.elisava.net
https://indicios.cargocollective.com


(Foto: Axelle Billon)","Inauguración exposición ""indicios""","https://www.facebook.com/events/1947374865332558/","https://www.facebook.com/events/1947374865332558/","2018-06-28T10:30:00-07:00 to 2018-06-28T13:00:00-07:00","null","null","null","https://www.facebook.com/events/1947374865332558/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/s526x296/35482351_1725721370848240_6160894912666533888_n.jpg?_nc_cat=0&oh=7a5bf81c9dd029e1d7b4bb9ea99d902a&oe=5BBDAD0E"
"1529341338-2","http://www.artssspot.com/barcelona/face-pages-prov/","Sant Andreu Contemporani","Fabra i Coats. Centre d'Art Contemporani","Aquest dimecres 20 de juny a les 19h en la 1ª planta del Centre d’Art Contemporani de Barcelona - Fabra i Coats, el ballarí, performer, creador, pedagog, investigador i escriptor Aimar Pérez Galí ens oferirà la seva lectura personal de “No es lo que aparece”, la mostra que reuneix tots els treballs finalistes en la modalitat d’obra del Premi Miquel Casablancas 2018, així com els dossiers finalistes de la resta de modalitats (projecte, publicació i comunicació gràfica) i els projectes de SAC-FiC Programa de Residències 2017.

Laura Llaneli, guanyadora del Premi Miquel Casablancas 2018 en la modalidad d’obra, ens oferirà també una nova representació de “El Midi”, una xerrada en format spoken word sobre una base musical. Un text teòric en què es descriu la relació formal entre el protocol musical MIDI (Musical Instrument Digital Interface), la seva representació gràfica i el neuma, primera figura utilitzada en notació musical durant el segle xiv pels cors de cant gregorià. Una divagació teòrica sobre analogia formal que passa per teories del llenguatge, el so, la paraula, el cànon, la música serial o el Midi art.

Us hi esperem!","No es lo que aparece, per Aimar Pérez Galí","https://www.facebook.com/events/1041363716026130/","https://www.facebook.com/events/1041363716026130/","2018-06-20T10:00:00-07:00 to 2018-06-20T11:30:00-07:00","null","null","null","https://www.facebook.com/events/1041363716026130/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p526x296/35528687_1941231195910001_8205299367037370368_o.jpg?_nc_cat=0&oh=c2dceb6fea3637c918875e890042100e&oe=5BBA759D"
"1529341427-9","http://www.artssspot.com/barcelona/face-pages-prov/","MACBA Museu d'Art Contemporani de Barcelona","MACBA Museu d'Art Contemporani de Barcelona","⚡ Torna #LOREMIPSUM, el cicle de so als marges del MACBA ⚡ Presentem un seguit de propostes que operen en els marges i en els replecs de moltes coses alhora: música, performance, investigació artística, experimentació; el que es defineix com a queer, cossos racialitzats, desplaçaments i persones fora de lloc. 

El proper 30 de juny donem el tret de sortida amb la primera de sis actuacions. 

📆 Lolo & Sosaku, dissabte 30/06
🕡 18.30 h 
📍 Atri de l'Edifici Meier
#dissabtesMACBA Activitat gratuïta gràcies a Uniqlo España. 

🔈🔉 Lolo & Sosaku es van conèixer a Barcelona el 2004, i des d’aleshores actuen com a duo artístic. El 2005 van començar a centrar-se en el món de la música i el so. Va ser llavors quan van inventar i van esculpir els seus primers instruments, construïts amb fusta, cordes de niló, ploms i altres materials en gran mesura reciclats, per tal de crear un nou tipus de música.

Consulta el programa complet a bit.ly/LoremIpsum-2018-macba
Anota't la resta de sessions ⬇
Dj. 05/07 Violence, 20.30 h
Dj. 12/07 Faka, 20.30 h
Ds. 14/07 Riobamba, 18.30 h
Dj. 19/07 Group A, 20.30 h
Dj. 26/07 People Like Us, 20.30 h

#LoremIpsum #macbaBCN","Lolo & Sosaku a Lorem Ipsum [1/6]","https://www.facebook.com/events/433889267079265/","https://www.facebook.com/events/433889267079265/","2018-06-30T09:30:00-07:00 to 2018-06-30T11:30:00-07:00","null","null","null","https://www.facebook.com/events/433889267079265/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/35542699_1806324939445216_4932937782482960384_n.jpg?_nc_cat=0&oh=0f176dd3b90d9b1a8e5a6dc0c53b6350&oe=5BECB50C"
"1529341324-1","http://www.artssspot.com/barcelona/face-pages-prov/","Antoni Yranzo","Espacio 88""","Vuelve una nueva edición de The White Wall para el mes de junio en la que presentamos a Antoni Yranzo. 
Un artista multidisciplinar. Su principal actividad artística es la escultura, que realiza en su estudio-taller situado en Poblenou. Se trata de un antiguo local donde se desarrolló durante muchos años la actividad familiar, un taller de carpintería industrial y ebanistería.

Para la creación de sus piezas utiliza casi siempre maderas recicladas y otros materiales como alambre, cordel de cáñamo y piedras sin tratar. Sus piezas son objetos para la observación y la reflexión. En su trayectoria artística y creativa ha desarrollado proyectos en diferentes ámbitos profesionales como el interiorismo, la gastronomía, el diseño y la cultura.

Una de las líneas de trabajo de Antoni es la serie “Tensiones”, piezas dónde combina la flexibilidad de la madera con la resistencia e inmovilidad de elementos tensores como la cuerda o el cable.

Las dos piezas presentadas en Espacio 88 son parte de esta serie y trabajan la idea del Punto de mira. Nos invitan a reflexionar sobre que todos tenemos algo o a alguien en el punto de mira. Es sólo cuestión de reflexionar y encontrarlo. Algunos puntos de mira son fijos, otros son más movibles y variables. Algunos cuesta centrarlos y muchos nos obligan a adoptar posturas incómodas, incluso ridículas. 

Os esperamos a todos este martes día 19 para inaugurar la exposición. Os retaremos a encontrar vuestro punto de mira e incluso a degustarlo, ya que la diseñadora e hija del escultor, Elsa Yranzo preparará unas pequeñas piezas comestibles para la ocasión.


---------------


The White Wall de Espacio 88, es una ventana abierta a intervenciones artísticas de diferentes ámbitos ya sea la arquitectura, la pintura, el diseño, la fotografía o la comunicación. Este proyecto tiene como objetivo potenciar la obra de artistas emergentes y de una manera dinámica y activa, divulgar valores y cualidades del arte en la ciudad. Bajo este concepto se presenta cada mes la obra de un artista diferente que convive con el día a día de nuestro espacio.","The White Wall by Antoni Yranzo","https://www.facebook.com/events/1827939114174634/","https://www.facebook.com/events/1827939114174634/","2018-06-19T10:00:00-07:00 to 2018-06-19T13:00:00-07:00","null","null","null","https://www.facebook.com/events/1827939114174634/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-0/p235x350/35433276_10211932214235865_8828331029551906816_n.jpg?_nc_cat=0&oh=05394b0074c608e3a08f00f3c709b67a&oe=5BAF64CC"
"1529341364-4","http://www.artssspot.com/barcelona/face-pages-prov/","N2 Galería","N2 Galería","Ven a celebrar con nosotros la última exposición de la temporada: ""Ephemeral"" de Roc Blackblock, Mohamed L'Ghacham y Rodrigo Romero. Con la actuación del DJ Victor Krafft y la presencia de los artistas.","Inauguración de ""Ephemeral"": Blackblock, L'Ghacham & Romero","https://www.facebook.com/events/458892554560492/","https://www.facebook.com/events/458892554560492/","2018-06-21T10:00:00-07:00 to 2018-06-21T13:00:00-07:00","null","null","null","https://www.facebook.com/events/458892554560492/","https://scontent-mad1-1.xx.fbcdn.net/v/t15.0-10/s526x296/32578766_2118989511463749_223784542199087104_n.jpg?_nc_cat=0&oh=e6e83f1fa60034e8848a7dbbd3d9249a&oe=5BB5FE2C"
"1529341376-5","http://www.artssspot.com/barcelona/face-pages-prov/","Bacanal Café","Bacanal Café","UNO COMA SEIS UNO OCHO CERO
Naturaleza, texturas y geometría. Trabajos de collage inspirados en la proporción áurea.","Expo Tauhauz en Bacanal Café","https://www.facebook.com/events/628551560839699/","https://www.facebook.com/events/628551560839699/","2018-06-21T10:00:00-07:00 to 2018-06-21T13:00:00-07:00","null","null","null","https://www.facebook.com/events/628551560839699/","https://scontent-mad1-1.xx.fbcdn.net/v/t1.0-9/s720x720/35162208_833460286837252_932822980650598400_o.jpg?_nc_cat=0&oh=790de7072f6daa3bc53666c8a2ee2c4c&oe=5BB5269B"
